e1,r,e2
3877,author_in_affiliation,1915
1603,author_in_affiliation,229
12953,author_write_paper,10004
7398,author_write_paper,5957
11891,paper_cite_paper,4979
6081,paper_in_domain,494
12022,paper_in_domain,228
6749,author_write_paper,7996
9000,author_write_paper,11756
12732,paper_in_domain,1851
7568,author_in_affiliation,4225
6227,author_write_paper,13880
12904,author_write_paper,13992
11611,paper_in_domain,2364
5831,paper_in_domain,443
11228,author_in_affiliation,1243
3519,author_write_paper,11788
4574,paper_in_domain,897
845,paper_cite_paper,11317
13884,paper_in_domain,717
12872,paper_in_domain,951
8548,paper_in_domain,1281
5330,paper_in_venue,4106
7163,paper_cite_paper,14390
8749,paper_in_domain,2099
8773,paper_in_domain,95
15370,author_in_affiliation,2069
12153,author_in_affiliation,1831
11868,author_write_paper,5781
10692,author_write_paper,11329
5880,author_write_paper,9445
12070,paper_cite_paper,6306
5560,paper_in_domain,1190
7850,paper_in_domain,1638
3910,author_write_paper,9815
5441,author_write_paper,12016
9289,author_in_affiliation,1474
9945,paper_in_domain,2733
9848,paper_in_domain,1993
12626,paper_in_domain,1400
6151,author_write_paper,12416
12248,author_in_affiliation,2534
10386,paper_in_domain,138
7581,paper_in_domain,2699
10978,paper_in_domain,356
9829,paper_cite_paper,4855
7724,author_in_affiliation,315
13187,paper_cite_paper,13127
16339,author_write_paper,9935
4583,paper_cite_paper,9484
6338,paper_cite_paper,5071
2886,author_write_paper,10582
15804,author_in_affiliation,1933
13852,paper_in_domain,1119
10517,paper_in_venue,4126
9580,paper_cite_paper,11101
9243,author_write_paper,14344
12432,paper_in_venue,4088
14498,paper_in_domain,1706
11057,paper_cite_paper,9944
4591,paper_cite_paper,4878
11209,author_write_paper,8850
14646,paper_in_domain,2429
5245,paper_in_domain,1804
4602,paper_in_domain,2500
5615,paper_in_domain,1951
5700,paper_in_domain,1987
15641,author_write_paper,14251
11576,paper_in_domain,1813
5639,paper_cite_paper,6408
13165,author_write_paper,8444
11900,author_write_paper,4706
9376,author_in_affiliation,1099
6357,paper_in_venue,4116
12689,paper_in_venue,4124
12557,author_write_paper,13364
15464,author_write_paper,11897
2674,author_write_paper,12757
9192,paper_cite_paper,4335
7379,paper_cite_paper,7377
6797,paper_in_venue,4113
9739,paper_in_domain,2446
12078,paper_cite_paper,5371
5053,paper_in_domain,1639
13051,paper_cite_paper,12200
12187,author_write_paper,14393
11623,author_in_affiliation,4278
8079,paper_in_venue,4119
11599,paper_cite_paper,5939
6924,author_write_paper,2215
14177,author_write_paper,6574
13603,paper_cite_paper,12310
6565,paper_in_domain,824
13992,paper_in_domain,1090
5111,paper_in_domain,425
15067,author_in_affiliation,4264
2878,paper_in_domain,3002
6984,paper_in_domain,1546
9821,paper_cite_paper,10649
5548,paper_in_domain,2553
6409,paper_cite_paper,4914
3404,author_write_paper,14171
7519,paper_cite_paper,4390
5424,paper_in_domain,2478
14578,paper_in_venue,4088
5243,paper_in_domain,3739
4541,paper_in_domain,1286
14860,paper_in_domain,1286
4639,paper_in_venue,4119
8495,paper_cite_paper,8814
6685,author_write_paper,14376
11539,paper_in_domain,221
11941,paper_in_venue,4106
4530,paper_in_domain,2446
6625,author_write_paper,12683
14048,paper_in_domain,452
5366,paper_in_domain,508
14760,author_write_paper,7429
5126,paper_in_domain,2364
10287,author_write_paper,5964
108,author_in_affiliation,3043
8592,paper_in_domain,2315
14282,paper_cite_paper,4687
15968,author_write_paper,10085
12365,paper_cite_paper,11067
4562,author_write_paper,10681
11488,paper_cite_paper,7636
12771,paper_in_domain,1190
6394,author_in_affiliation,286
4437,paper_in_domain,1302
13431,paper_in_domain,3083
7554,author_write_paper,4528
6010,paper_in_venue,4097
7247,paper_in_domain,829
4836,paper_in_domain,3147
8670,paper_in_domain,1790
14405,paper_cite_paper,9256
15647,author_write_paper,1855
16078,author_write_paper,12257
9786,author_write_paper,11871
12101,paper_in_domain,803
3920,author_in_affiliation,2531
288,author_in_affiliation,2012
14762,paper_in_domain,2379
4781,paper_in_domain,1302
7068,author_write_paper,6756
8759,paper_in_domain,466
4367,paper_in_domain,1478
7225,author_write_paper,15193
13017,paper_cite_paper,4565
5072,paper_in_domain,1193
12180,author_write_paper,14160
12827,paper_in_domain,2978
13934,paper_in_domain,3739
4889,paper_in_domain,1856
7383,paper_in_domain,1580
14278,paper_in_domain,1963
12178,paper_in_venue,4119
10307,paper_in_venue,4088
6138,paper_in_domain,138
